leonoreid,person,bnfid
LH/553/28,http://www.wikidata.org/entity/Q331871,12242134p
LH/696/2,http://www.wikidata.org/entity/Q346165,11899169z
LH/561/31,http://www.wikidata.org/entity/Q347455,40387227x
LH/389/84,http://www.wikidata.org/entity/Q349167,11894467w
LH/1974/55,http://www.wikidata.org/entity/Q349872,12627797q
LH/2762/45,http://www.wikidata.org/entity/Q360252,12951828v
LH/674/9,http://www.wikidata.org/entity/Q364498,12457814r
LH/1025/30,http://www.wikidata.org/entity/Q365733,119033937
LH/148/82,http://www.wikidata.org/entity/Q374884,124629459
19800035/1350/56433,http://www.wikidata.org/entity/Q379943,119091338
LH/199/2,http://www.wikidata.org/entity/Q379949,11891535t
LH/7/21,http://www.wikidata.org/entity/Q381800,11929806q
19800035/1140/30467,http://www.wikidata.org/entity/Q382070,11958862k
19800035/205/26838,http://www.wikidata.org/entity/Q382573,128644364
LH/2777/60,http://www.wikidata.org/entity/Q385701,125629893
LH/1258/19,http://www.wikidata.org/entity/Q432938,12406064t
LH/618/72,http://www.wikidata.org/entity/Q434346,11898022s
LH/432/44,http://www.wikidata.org/entity/Q438213,10599915k
LH/2752/2,http://www.wikidata.org/entity/Q439517,16117008t
LH/535/29,http://www.wikidata.org/entity/Q441931,123646104
LH/404/67,http://www.wikidata.org/entity/Q442476,12551996x
LH/129/44,http://www.wikidata.org/entity/Q451489,11995263c
19800035/357/48014,http://www.wikidata.org/entity/Q454685,11916481f
LH/1103/38,http://www.wikidata.org/entity/Q458327,169986469
LH/1012/52,http://www.wikidata.org/entity/Q460617,10696788p
LH/93/6,http://www.wikidata.org/entity/Q461931,123008721
LH/1393/46,http://www.wikidata.org/entity/Q462364,122765827
LH/2316/54,http://www.wikidata.org/entity/Q463441,121740570
LH/2387/33,http://www.wikidata.org/entity/Q467167,119351526
LH/124/32,http://www.wikidata.org/entity/Q477262,12315352f
LH/2327/25,http://www.wikidata.org/entity/Q481259,14960271k
LH/2022/5,http://www.wikidata.org/entity/Q502885,13482911j
19800035/63/7706,http://www.wikidata.org/entity/Q503758,123845092
