nom,leonoreid,bnfids
Jean Baptiste Soehnlin,LH/2531/11,105372435
René Maheu,19800035/1328/53941,162016069
Fortunat Strowski,19800035/85/10635,125236990
Francis Garnier,LH/1078/20,120170548
Gabriel Séailles,19800035/210/27517,11924238g
François Antoine de Boissy d'Anglas,LH/273/13,12158469n
François-Antoine de Boissy d'Anglas,LH/273/13,12158469n
François-Auguste Parseval-Grandmaison,LH/2058/31,10709490f
Anatole de Cabrières,LH/2417/9,121067062
Émile Mathis,19800035/809/91969,14415385v
Léon Gozlan,LH/1183/93,11905626d
Camille Jullian,LH/1388/89,122768675
Jean Barthélemy Hauréau,LH/1271/83,11907016x
Jean-Barthélemy Hauréau,LH/1271/83,11907016x
Charles-Louis Clérisseau,LH/553/28,12242134p
Maurice Delafosse,LH/696/2,11899169z
Jules Coignet,LH/561/31,40387227x
Thomas Robert Bugeaud,LH/389/84,11894467w
Célestin Nanteuil,LH/1974/55,12627797q
René Worms,LH/2762/45,12951828v
David d'Angers,LH/674/9,12457814r
Adolphe Franck,LH/1025/30,119033937
Antoine Laurent Bayle,LH/148/82,124629459
Pierre Jean Jouve,19800035/1350/56433,119091338
Tristan Bernard,LH/199/2,11891535t
Paul Adam,LH/7/21,11929806q
René Mayer,19800035/1140/30467,11958862k
André Michelin,19800035/205/26838,128644364
Edme-Jean Baptiste Bouillon-Lagrange,LH/2777/60,125629893
Reynaldo Hahn,LH/1258/19,12406064t
Victor Cousin,LH/618/72,11898022s
Jules Carpentier,LH/432/44,10599915k
Berthe Weill,LH/2752/2,16117008t
Adolphe-Gustave Chouquet,LH/535/29,123646104
Auguste André Thomas Cahours,LH/404/67,12551996x
Antoine-Louis Barye,LH/129/44,11995263c
Henri Mondor,19800035/357/48014,11916481f
Honoré Théodore Maxime Gazan,LH/1103/38,169986469
Martin Fourichon,LH/1012/52,10696788p
Henri Ernest Baillon,LH/93/6,123008721
Gustave Kahn,LH/1393/46,122765827
Théodule Ribot,LH/2316/54,121740570
Edmond de Rothschild,LH/2387/33,119351526
Charles Barrois,LH/124/32,12315352f
Daniel Ridgway Knight,LH/2327/25,14960271k
Robert d'Orléans,LH/2022/5,13482911j
André Chaumeix,19800035/63/7706,123845092
Urbain Bouriant,LH/331/67,12424283k
André-Charles-Victor Reille,LH/2288/19,16238501m
André Castaigne,19800035/288/38749,12730581g
Ferdinand Humbert,LH/1325/47,14398165w | 14969625p
Marcel Delépine,19800035/636/73594,13479002k
Jean-François Klobb,LH/1404/10,13753213f
Alfred Morel-Fatio,LH/1934/53,121196835
Jacques Pucheran,LH/2236/33,13479413b
Léon Cogniet,LH/560/44,12161431g
Jacques-Joseph Champollion,LH/476/56,12174688x
Gaspard Gourgaud,LH/1179/57,13011735m
Jean-Baptiste Isabey,LH/1336/8,146448551
Georges Catroux,C/0/26,12146292x
Charles Victor Mauguin,19800035/178/23028,155921350
Jacques Claude Beugnot,LH/227/71,10638967h
Marcel Tournier,LH/2651/59,13900522t
Jean-François Lesueur,LH/1618/36,12462953x
Henri Fournier,LH/1016/31,12173820m
Louis d'Aurelle de Paladines,LH/77/12,13743828x
Charles Auguste Frossard,LH/1042/69,10692054g
Auguste Perdonnet,LH/2095/49,129941483
Gilbert Duprez,LH/860/61,148510022
Antoine Gouan,LH/1172/31,13487325s
Antoine Thomas,LH/2647/56,122911543
Georges Gougenheim,19800035/1168/33369,122851107
Raymond Grasset,19800035/918/7195,112025502
Réjane,LH/2289/26,137555879
Jean-Antoine-Marie Idrac,LH/1332/45,16642304j
Jules Sandeau,LH/2453/40,11923605c
Louis Le Chatelier,LH/1527/42,107306804
Paul Mariéton,19800035/390/52318,121139888
Hippolyte Coste,LH/598/86,118978086
Francis Planté,LH/2177/28,13898544r
Félix Bracquemond,LH/349/89,12234214m
François Bazin,LH/151/21,138912598
René de Possel,19800035/1244/43531,12298473w
Jacques Ignace Hittorff,LH/1303/31,11964230j
Eugène Tisserant,19800035/1125/29025,12301470g
Charles-François Dupuis,LH/861/22,12459747x
Salomon Reinach,19800035/237/31499,11921429b
François-Auguste Mignet,19800035/565/64318,12362788v
François-Auguste Mignet,LH/1873/58,12362788v
Pellegrino Rossi,LH/2384/75,12315616d
Henri Decoin,19800035/1004/16102,121303331
Pierre Brossolette,19800035/197/25772,11894170z
François Jacques Dominique Massieu,LH/1779/52,10743980w
Paul Boucherot,19800035/1330/54107,113042350
Jean Louis Armand de Quatrefages de Bréau,LH/2243/66,12116326s
Nicolas-Joseph Maison,LH/1698/41,155194188
Emmanuel Suhard,19800035/85/10643,124518776
Pierre-Édouard Frère,LH/1034/52,149742305
Martin Michel Charles Gaudin,LH/1090/13,13009561b
Martin-Michel-Charles Gaudin,LH/1090/13,13009561b
Isidore Pils,LH/2163/6,12566236j
Claude Pouillet,LH/2210/15,12402520m
Lucien Murat,LH/1968/3,107263002
Augustin Mouchot,LH/1947/68,12627187r
Jacques Alexandre Law de Lauriston,LH/1509/32,14956222m
Marc Pincherle,19800035/1219/40728,12401511d
Georges Migot,19800035/1366/57905,11916075d
Jean Grolier de Servières,LH/1205/68,11976107f
Abel de Pujol,LH/3/7,149649646
Georges Darboy,LH/658/48,12202776f
Tanneguy Duchâtel,LH/821/63,121710547
