person,leonoreid
http://www.wikidata.org/entity/Q1151,LH/192/74
http://www.wikidata.org/entity/Q2185,C/0/25
http://www.wikidata.org/entity/Q4700,LH/681/19
http://www.wikidata.org/entity/Q5721,C/0/17
http://www.wikidata.org/entity/Q8814,LH/451/10
http://www.wikidata.org/entity/Q20894,19800035/127/16027
http://www.wikidata.org/entity/Q18436,19800035/200/26204
http://www.wikidata.org/entity/Q24979,LH/2273/16
http://www.wikidata.org/entity/Q15948,LH/874/13
http://www.wikidata.org/entity/Q20882,LH/892/60
http://www.wikidata.org/entity/Q42156,LH/191/38
http://www.wikidata.org/entity/Q49448,LH/1993/18
http://www.wikidata.org/entity/Q49767,LH/502/50
http://www.wikidata.org/entity/Q56705,LH/529/65
http://www.wikidata.org/entity/Q50656,LH/62/12
http://www.wikidata.org/entity/Q72038,LH/1305/72
http://www.wikidata.org/entity/Q73890,LH/2288/67
http://www.wikidata.org/entity/Q72843,LH/2637/89
http://www.wikidata.org/entity/Q83326,LH/128/77
http://www.wikidata.org/entity/Q82730,LH/1353/98
http://www.wikidata.org/entity/Q81518,LH/150/12
http://www.wikidata.org/entity/Q81042,LH/1799/22
http://www.wikidata.org/entity/Q117442,19800035/37/4661
http://www.wikidata.org/entity/Q122090,19800035/451/60340
http://www.wikidata.org/entity/Q123026,LH/1233/67
http://www.wikidata.org/entity/Q104154,LH/1626/79
http://www.wikidata.org/entity/Q116993,LH/1685/37
http://www.wikidata.org/entity/Q108301,LH/2657/7
http://www.wikidata.org/entity/Q131987,19800035/436/58318
http://www.wikidata.org/entity/Q127275,LH/1656/36
http://www.wikidata.org/entity/Q125916,LH/2274/39
http://www.wikidata.org/entity/Q127931,LH/2392/42
http://www.wikidata.org/entity/Q154356,19800035/168/21667
http://www.wikidata.org/entity/Q158838,C/0/4
http://www.wikidata.org/entity/Q152944,LH/185/49
http://www.wikidata.org/entity/Q159923,LH/2233/51
http://www.wikidata.org/entity/Q168693,19800035/1176/36112
http://www.wikidata.org/entity/Q165910,19800035/1301/50196
http://www.wikidata.org/entity/Q185777,19800035/789/89205
http://www.wikidata.org/entity/Q181686,19800035/882/3412
http://www.wikidata.org/entity/Q170596,LH/1509/35
http://www.wikidata.org/entity/Q170209,LH/172/43
http://www.wikidata.org/entity/Q166668,LH/2208/25
http://www.wikidata.org/entity/Q177139,LH/2567/6
http://www.wikidata.org/entity/Q165282,LH/815/21
http://www.wikidata.org/entity/Q169186,LH/906/15
http://www.wikidata.org/entity/Q206391,19800035/463/61886
http://www.wikidata.org/entity/Q191974,C/0/11
http://www.wikidata.org/entity/Q187496,LH/1269/8
http://www.wikidata.org/entity/Q202289,LH/682/2
http://www.wikidata.org/entity/Q223274,LH/128/45
http://www.wikidata.org/entity/Q210798,LH/1331/52
http://www.wikidata.org/entity/Q209169,LH/1616/85
http://www.wikidata.org/entity/Q215161,LH/2752/53
http://www.wikidata.org/entity/Q209181,LH/2779/6
http://www.wikidata.org/entity/Q214217,LH/648/10
http://www.wikidata.org/entity/Q246549,LH/1755/11
http://www.wikidata.org/entity/Q237911,LH/2/6
http://www.wikidata.org/entity/Q246459,LH/2471/47
http://www.wikidata.org/entity/Q245572,LH/2576/72
http://www.wikidata.org/entity/Q252357,LH/665/84
http://www.wikidata.org/entity/Q264193,19800035/1463/69262
http://www.wikidata.org/entity/Q274217,19800035/253/33686
http://www.wikidata.org/entity/Q266505,19800035/274/36653
http://www.wikidata.org/entity/Q274978,19800035/7/801
http://www.wikidata.org/entity/Q263505,LH/1151/47
http://www.wikidata.org/entity/Q274483,LH/2212/46
http://www.wikidata.org/entity/Q274223,LH/2359/31
http://www.wikidata.org/entity/Q274889,LH/52/39
http://www.wikidata.org/entity/Q256786,LH/563/70
http://www.wikidata.org/entity/Q274278,LH/573/71
http://www.wikidata.org/entity/Q265665,LH/600/20
http://www.wikidata.org/entity/Q274341,LH/713/45
http://www.wikidata.org/entity/Q285973,19800035/293/39409
http://www.wikidata.org/entity/Q292539,19800035/752/85259
http://www.wikidata.org/entity/Q296064,C/0/14
http://www.wikidata.org/entity/Q285985,LH/1290/70
http://www.wikidata.org/entity/Q286232,LH/1856/45
http://www.wikidata.org/entity/Q284683,LH/2098/68
http://www.wikidata.org/entity/Q287244,LH/2490/58
http://www.wikidata.org/entity/Q279425,LH/2744/10
http://www.wikidata.org/entity/Q283026,LH/2766/3
http://www.wikidata.org/entity/Q289272,LH/929/28
http://www.wikidata.org/entity/Q311663,19800035/161/20663
http://www.wikidata.org/entity/Q324919,19800035/51/6235
http://www.wikidata.org/entity/Q325074,19800035/542/62012
http://www.wikidata.org/entity/Q316422,19800035/764/86868
http://www.wikidata.org/entity/Q330925,19800035/809/91969
http://www.wikidata.org/entity/Q323144,LH/1075/63
http://www.wikidata.org/entity/Q326360,LH/1191/49
http://www.wikidata.org/entity/Q325338,LH/1605/51
http://www.wikidata.org/entity/Q318984,LH/1630/26
http://www.wikidata.org/entity/Q315220,LH/2793/132
http://www.wikidata.org/entity/Q315747,LH/315/87
http://www.wikidata.org/entity/Q327306,LH/354/70
http://www.wikidata.org/entity/Q311276,LH/369/64
http://www.wikidata.org/entity/Q327552,LH/74/48
http://www.wikidata.org/entity/Q332457,LH/1183/93
http://www.wikidata.org/entity/Q347539,LH/1271/83
http://www.wikidata.org/entity/Q333292,LH/1388/89
http://www.wikidata.org/entity/Q721665,LH/2626/25
http://www.wikidata.org/entity/Q704494,LH/3/7
http://www.wikidata.org/entity/Q713774,LH/658/48
http://www.wikidata.org/entity/Q715329,LH/782/44
http://www.wikidata.org/entity/Q713867,LH/821/63
http://www.wikidata.org/entity/Q739986,19800035/1221/40923
http://www.wikidata.org/entity/Q730383,19800035/128/16186
http://www.wikidata.org/entity/Q723735,19800035/456/61061
http://www.wikidata.org/entity/Q726390,19800035/930/8376
http://www.wikidata.org/entity/Q726967,LH/11/88
http://www.wikidata.org/entity/Q734572,LH/29/51
http://www.wikidata.org/entity/Q724379,LH/290/18
http://www.wikidata.org/entity/Q727551,LH/465/30
http://www.wikidata.org/entity/Q723678,LH/863/87
http://www.wikidata.org/entity/Q780892,19800035/230/30415
http://www.wikidata.org/entity/Q766065,LH/1325/3
http://www.wikidata.org/entity/Q775941,LH/854/21
http://www.wikidata.org/entity/Q754748,LH/859/67
http://www.wikidata.org/entity/Q765905,LH/877/45
http://www.wikidata.org/entity/Q821261,LH/1005/33
http://www.wikidata.org/entity/Q808081,LH/1405/42
http://www.wikidata.org/entity/Q834576,LH/632/87
http://www.wikidata.org/entity/Q866729,19800035/210/27630
http://www.wikidata.org/entity/Q867952,19800035/387/51863
http://www.wikidata.org/entity/Q860206,LH/852/55
http://www.wikidata.org/entity/Q886497,19800035/1247/43910
http://www.wikidata.org/entity/Q908133,19800035/241/32027
http://www.wikidata.org/entity/Q905041,19800035/65/8014
http://www.wikidata.org/entity/Q877593,LH/1569/31
http://www.wikidata.org/entity/Q876602,LH/673/33
http://www.wikidata.org/entity/Q903209,LH/8/27
http://www.wikidata.org/entity/Q922600,19800035/746/84696
http://www.wikidata.org/entity/Q932986,19800035/87/10869
http://www.wikidata.org/entity/Q935561,LH/1929/5
http://www.wikidata.org/entity/Q927020,LH/1994/7
http://www.wikidata.org/entity/Q922667,LH/2387/35
http://www.wikidata.org/entity/Q918268,LH/414/71
http://www.wikidata.org/entity/Q923187,LH/638/43
http://www.wikidata.org/entity/Q937373,LH/683/32
http://www.wikidata.org/entity/Q953803,19800035/264/35226
http://www.wikidata.org/entity/Q950845,19800035/607/68568
http://www.wikidata.org/entity/Q958953,LH/1102/54
http://www.wikidata.org/entity/Q950466,LH/135/54
http://www.wikidata.org/entity/Q970505,LH/173/66
http://www.wikidata.org/entity/Q945147,LH/1992/12
http://www.wikidata.org/entity/Q965907,LH/2291/39
http://www.wikidata.org/entity/Q952038,LH/271/18
http://www.wikidata.org/entity/Q970585,LH/36/83
http://www.wikidata.org/entity/Q970806,LH/670/80
http://www.wikidata.org/entity/Q941677,LH/834/23
http://www.wikidata.org/entity/Q983239,19800035/159/20385
http://www.wikidata.org/entity/Q972619,19800035/238/31633
