nom,leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
Georges Bidault,C/0/19,1899-10-05T00:00:00Z,Moulins,Point(3.3325 46.564722222),1983-01-27T00:00:00Z,Cambo-les-Bains,Point(-1.401666666 43.357777777)
Claude Louis Berthollet,LH/212/28,1748-12-09T00:00:00Z,Talloires,Point(6.213611111 45.840277777),1822-11-06T00:00:00Z,Arcueil,Point(2.335277777 48.806666666)
عبد القادر الجزائري,LH/2/26,1808-09-06T00:00:00Z,Mascara,Point(0.133333333 35.4),1883-05-26T00:00:00Z,Damas,Point(36.291944444 33.513055555)
Henri Victor Regnault,LH/2285/49,1810-07-21T00:00:00Z,Aix-la-Chapelle,Point(6.083788 50.776207),1878-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Paul Broca,LH/369/64,1824-06-28T00:00:00Z,Sainte-Foy-la-Grande,Point(0.217222222 44.840555555),1880-07-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Philippe Pinel,LH/2165/73,1745-04-20T00:00:00Z,Jonquières,Point(2.125555555 43.649166666),1826-10-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gustave Charpentier,19800035/161/20663,1860-06-25T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1956-02-18T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Gaston Maspero,LH/1775/32,1846-06-23T00:00:00Z,Paris,Point(2.351388888 48.856944444),1916-06-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Charles Gounod,LH/1177/67,,,,1893-10-18T00:00:00Z,Saint-Cloud,Point(2.215277777 48.846388888)
Auguste Baron,19800035/241/32035,1855-04-12T00:00:00Z,Paris,Point(2.351388888 48.856944444),1938-05-31T00:00:00Z,Neuilly-sur-Seine,Point(2.2675 48.887222222)
Maurice-Paul-Emmanuel Sarrail,LH/2460/35,1856-04-06T00:00:00Z,Carcassonne,Point(2.351388888 43.215833333),1929-03-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
François de Fossa,LH/1003/68,1775-08-31T00:00:00Z,Perpignan,Point(2.894722222 42.6975),1849-06-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Pierre Claude François Daunou,LH/668/20,1761-08-18T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),1840-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Pierre-Claude-François Daunou,LH/668/20,1761-08-18T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),1840-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Alfred de Musset,LH/1969/60,1810-12-11T00:00:00Z,Paris,Point(2.351388888 48.856944444),1857-05-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Auguste Dumont,LH/846/5,1801-08-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1884-01-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
Natalis de Wailly,LH/2744/10,1805-05-10T00:00:00Z,Charleville-Mézières,Point(4.719444444 49.76),1886-12-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
