nom,leonoreid,diplomes,professions
Jean Perrin,LH/2110/21,professeur,physicien théoricien | professeur d'université | chimiste | compositeur
Jules Gilliéron,19800035/255/34043,professeur,linguiste | dialectologue | romaniste | professeur
Gabriel Marcel,19800035/1208/39501,agrégation,philosophe | critique littéraire | musicien | dramaturge | écrivain
Charles Hermite,LH/1293/72,baccalauréat universitaire ès sciences | baccalauréat,professeur des universités | maître de conférences | professeur d'université | mathématicien
Charles Camille Saint-Saëns,LH/2442/36,doctorat en musique,critique musical | pianiste | musicien | organiste | chef d'orchestre | compositeur
Henry Louis Le Châtelier,LH/1527/45,baccalauréat universitaire ès sciences,chimiste | professeur | ingénieur
Henri Poincaré,LH/2185/72,Philosophiæ doctor,philosophe des sciences | topologue | philosophe | chercheur | professeur d'université | mathématicien | physicien | ingénieur | astronome
Léon Gautier,LH/1095/15,archiviste paléographe,archiviste | historien
Camille Jordan,LH/1374/19,Philosophiæ doctor,mathématicien | professeur | ingénieur
Jules Michelet,LH/1870/19,agrégation de lettres modernes | licence,diariste | philosophe | traducteur | archiviste | historien | professeur | écrivain
Théodore Reinach,LH/2288/42,doctorat,musicologue | linguiste | anthropologue | archéologue | historien de l'art | traducteur | historien | mathématicien | professeur | personnalité politique | avocat
Édouard Daladier,19800035/1032/19136,agrégation d'histoire,personnalité politique
Édouard Dhorme,19800035/681/78087,baccalauréat | doctorat,sémiologue | assyriologue | historien des religions | linguiste | philologue | professeur d'université | traducteur | professeur
Julius Mohl,LH/1894/32,docteur ès lettres,orientaliste | traducteur | professeur | écrivain
Oscar Liebreich,LH/1624/1,doctorat,pharmacologue | professeur d'université | chimiste | pharmacien
Heinrich Weil,LH/2751/18,docteur ès lettres,linguiste | philologue classique | professeur d'université
Ferdinand Buisson,LH/390/84,agrégation de philosophie | doctorat,philosophe | pédagogue | professeur | personnalité politique
Gustave Le Bon,LH/1517/42,doctorat ès sciences médicales,anthropologue | sociologue | psychologue | physicien | médecin
Edmond Faral,19800035/159/20378,doctorat | agrégation de grammaire,administrateur | historien de la littérature | romaniste | professeur
Paul-Émile Botta,LH/302/51,docteur ès sciences,anthropologue | archéologue | entomologiste | historien | diplomate
