departement,ville,coordonnesgroup
canton de Beaune-la-Rolande,Auxy,Point(2.474444444 48.118888888)
Haut-Rhin,Bisel,Point(7.218333333 47.535277777)
canton de Villefagnan,Bernac,Point(0.174722222 46.045833333)
canton de Mézières-Centre-Ouest,Belval,Point(4.634444444 49.776388888)
arrondissement d'Issoire,Augnat,Point(3.181944444 45.411666666)
arrondissement d'Auch,Callian,Point(0.2775 43.628888888)
arrondissement d'Avranches,Buais,Point(-0.969166666 48.5225)
arrondissement de Mamers,Bessé-sur-Braye,Point(0.749444444 47.833888888)
arrondissement de Reims,Avenay,Point(4.045833333 49.069166666)
arrondissement de Saint-Lô,Biéville,Point(-0.888333333 49.081388888)
canton d'Aix-en-Provence-Centre,Aix-en-Provence,Point(5.445555555 43.527777777)
arrondissement de Verdun,Amel,Point(5.648333333 49.266388888)
Bellevigny,Belleville,Point(-1.431111111 46.783333333)
arrondissement de Muret,Beaufort,Point(1.111388888 43.458611111)
canton de Châtillon-en-Bazois,Biches,Point(3.650833333 47.006388888)
arrondissement de Bayonne,Aïcirits,Point(-1.023888888 43.336666666)
canton de Saint-Germain-Laval,Bully,Point(4.005 45.9275)
arrondissement d'Agen,Bon-Encontre,Point(0.671944444 44.186388888)
arrondissement de Haguenau-Wissembourg,Betschdorf,Point(7.905833333 48.898611111)
arrondissement d'Auch,Belmont,Point(0.239722222 43.689722222)
arrondissement de Wissembourg,Betschdorf,Point(7.905833333 48.898611111)
Tarn-et-Garonne,Belvèze,Point(1.091666666 44.33)
arrondissement de Brignoles,Artignosc-sur-Verdon,Point(6.090277777 43.703055555)
arrondissement de Brignoles,Barjols,Point(6.0075 43.558055555)
Loir-et-Cher,Bouffry,Point(1.0975 48.008055555)
Loir-et-Cher,Brévainville,Point(1.284444444 47.952777777)
Seine-et-Marne,Bussy-Saint-Martin,Point(2.690277777 48.849166666)
communauté de communes du Vimeu,Aigneville,Point(1.616388888 50.035277777)
canton d'Agen-Sud-Est,Boé,Point(0.628611111 44.159722222)
canton de Bergues,Bergues,Point(2.434166666 50.968611111)
canton de L'Île-Bouchard,Avon-les-Roches,Point(0.448611111 47.156666666)
canton de Bligny-sur-Ouche,Antheuil,Point(4.745833333 47.1725)
arrondissement de Draguignan,Callas,Point(6.538333333 43.593055555)
Pas-de-Calais,Bours,Point(2.41 50.453333333)
Bordeaux Métropole,Blanquefort,Point(-0.6375 44.910555555)
canton de Saint-Sauveur,Breuchotte,Point(6.469166666 47.836111111)
arrondissement de Thionville,Aboncourt,Point(6.346944444 49.260555555)
arrondissement de Thionville,Bousse,Point(6.197777777 49.279166666)
arrondissement de Bar-le-Duc,Andernay,Point(4.955 48.791111111)
Tarn-et-Garonne,Boudou,Point(1.013888888 44.096111111)
Tarn-et-Garonne,Bourret,Point(1.168055555 43.943611111)
Nièvre,Arquian,Point(2.988333333 47.541666666)
Alpes-Maritimes,Blausasc,Point(7.365277777 43.804722222)
Hautes-Pyrénées,Allier,Point(0.1225 43.177222222)
Le Mans Métropole,Allonnes,Point(0.160555555 47.968611111)
canton de Montreuil-Bellay,Antoigné,Point(-0.112777777 47.084166666)
canton de Réchicourt-le-Château,Azoudange,Point(6.811944444 48.739166666)
Pas-de-Calais,Alincthun,Point(1.801388888 50.731111111)
Pas-de-Calais,Béhagnies,Point(2.829722222 50.140555555)
Pas-de-Calais,Boubers-sur-Canche,Point(2.236944444 50.290277777)
Pas-de-Calais,Bréxent-Énocq,Point(1.729444444 50.510277777)
Pas-de-Calais,Buneville,Point(2.358333333 50.324444444)
Pas-de-Calais,Cambrin,Point(2.742222222 50.511388888)
Haut-Rhin,Bruebach,Point(7.359722222 47.699722222)
Haut-Rhin,Brunstatt,Point(7.322777777 47.723333333)
Hérault,Azillanet,Point(2.7375 43.324166666)
Landes,Candresse,Point(-0.979722222 43.712222222)
canton de Barre-des-Cévennes,Bassurels,Point(3.625 44.179166666)
canton de Balleroy,Cahagnolles,Point(-0.761388888 49.158611111)
Savoie,Bourget-en-Huile,Point(6.206944444 45.484722222)
arrondissement de Nîmes,Beaucaire,Point(4.643333333 43.807222222)
arrondissement de Reims,Auménancourt,Point(4.068611111 49.384722222)
canton de Roquesteron,Bonson,Point(7.19 43.862777777)
Pas-de-Calais,Bertincourt,Point(2.980277777 50.085555555)
canton de Montmort-Lucy,Baye,Point(3.764166666 48.854722222)
arrondissement de Dax,Biarrotte,Point(-1.272222222 43.560833333)
arrondissement de Villefranche-sur-Saône,Bagnols,Point(4.6075 45.9175)
Vosges,Baudricourt,Point(6.054166666 48.313055555)
aire urbaine de Mulhouse,Burnhaupt-le-Bas,Point(7.161666666 47.717777777)
arrondissement de Dieppe,Avesnes-en-Val,Point(1.397222222 49.920277777)
arrondissement de Dieppe,Canouville,Point(0.600833333 49.805833333)
Vienne,Biard,Point(0.305833333 46.5775)
Charente,Asnières,Point(0.0475 45.710555555)
Pas-de-Calais,Bouvigny-Boyeffles,Point(2.672222222 50.421388888)
arrondissement d'Issoire,Aulhat-Saint-Privat,Point(3.3125 45.573055555)
arrondissement de Châteaubriant,Abbaretz,Point(-1.531666666 47.5525)
arrondissement de Saint-Lô,Beslon,Point(-1.151388888 48.848888888)
arrondissement de Saint-Lô,Carantilly,Point(-1.240555555 49.065277777)
Savoie,Avressieux,Point(5.694722222 45.572222222)
Savoie,Brides-les-Bains,Point(6.566666666 45.4525)
canton de Beaumont-Hague,Biville,Point(-1.8225 49.612777777)
canton d'Heuchin,Bours,Point(2.41 50.453333333)
arrondissement de Châteaubriant,Avessac,Point(-1.989722222 47.653333333)
canton de Beaumesnil,Beaumesnil,Point(0.706111111 49.012222222)
Pas-de-Calais,Angres,Point(2.758611111 50.409166666)
Eure,Boulleville,Point(0.392222222 49.368055555)
Eure,Campigny,Point(0.553888888 49.310555555)
Vosges,Anglemont,Point(6.668888888 48.38)
arrondissement d'Agen,Blaymont,Point(0.863055555 44.303888888)
arrondissement de Fontainebleau,Burcy,Point(2.521944444 48.239166666)
arrondissement de Nantua,Bellignat,Point(5.632777777 46.244722222)
arrondissement de Sarcelles,Andilly,Point(2.299444444 49.005277777)
Eure,Berthenonville,Point(1.661388888 49.183055555)
Pas-de-Calais,Boulogne-sur-Mer,Point(1.613888888 50.725555555)
canton de Mer,Avaray,Point(1.564722222 47.7225)
canton de Thonon-les-Bains-Ouest,Anthy,Point(6.426944444 46.355)
arrondissement de Dieppe,Belleville-sur-Mer,Point(1.161666666 49.949166666)
Ariège,Auzat,Point(1.480555555 42.766388888)
arrondissement de Saint-Gaudens,Boudrac,Point(0.526666666 43.190833333)
Noyers-Auzécourt,Auzécourt,Point(4.991944444 48.884444444)
canton de Laplume,Aubiac,Point(0.560833333 44.141388888)
arrondissement de Marmande,Bouglon,Point(0.096944444 44.393333333)
Hérault,Balaruc-le-Vieux,Point(3.684722222 43.460277777)
"communauté d'agglomération de Béthune-Bruay, Artois-Lys Romane",Amettes,Point(2.3925 50.530833333)
Eure,Bourgtheroulde-Infreville,Point(0.873333333 49.298611111)
canton d'Attichy,Attichy,Point(3.047222222 49.4125)
arrondissement de Villefranche-sur-Saône,Aigueperse,Point(4.434166666 46.276944444)
canton de Croisilles,Bucquoy,Point(2.708611111 50.14)
arrondissement de Carcassonne,Bouisse,Point(2.453333333 42.986666666)
arrondissement de Saint-Lô,Airel,Point(-1.079444444 49.218611111)
canton de Blaye,Blaye,Point(-0.662222222 45.127777777)
arrondissement de Beauvais,Briot,Point(1.923888888 49.65)
arrondissement d'Avranches,Argouges,Point(-1.396111111 48.5025)
arrondissement d'Auch,Auterive,Point(0.614166666 43.582777777)
arrondissement de Mamers,Bouloire,Point(0.549166666 47.973611111)
canton de Rians,Artigues,Point(5.810833333 43.593333333)
canton de Saramon,Aurimont,Point(0.820833333 43.573333333)
communauté de communes du Vimeu,Acheux,Point(1.6775 50.065555555)
Loir-et-Cher,Ambloy,Point(0.967777777 47.712222222)
Eure,Andé,Point(1.241111111 49.232222222)
arrondissement de Brignoles,Bauduen,Point(6.175833333 43.733888888)
arrondissement de Fontainebleau,Bois-le-Roi,Point(2.697222222 48.473611111)
canton de Dunkerque-Ouest,Cappelle-la-Grande,Point(2.364166666 50.998333333)
arrondissement de Pontoise,Berville,Point(2.071388888 49.190833333)
canton de Saint-Gengoux-le-National,Burnand,Point(4.638055555 46.603055555)
