ville,coordinatelieu
Dardilly,Point(4.753055555 45.805555555)
Saint-Jean-Pla-de-Corts,Point(2.792222222 42.511111111)
Veilly,Point(4.598888888 47.126944444)
Veuvey-sur-Ouche,Point(4.715555555 47.184722222)
Broin,Point(5.108888888 47.078888888)
Cognac,Point(-0.329166666 45.695833333)
Bagnot,Point(5.075555555 47.059166666)
Marcheseuil,Point(4.348888888 47.144166666)
Corgengoux,Point(4.988333333 46.990833333)
Bousselange,Point(5.26 46.989166666)
Auvillars-sur-Saône,Point(5.102222222 47.0625)
Saint-Martin-de-la-Mer,Point(4.234166666 47.236111111)
Dinsheim-sur-Bruche,Point(7.426388888 48.542222222)
Buswiller,Point(7.559166666 48.819722222)
Vic-des-Prés,Point(4.641944444 47.104444444)
Beynost,Point(5.001388888 45.840277777)
Montbolo,Point(2.655277777 42.484722222)
Ménessaire,Point(4.147777777 47.135)
Le Boulou,Point(2.83 42.523888888)
La Flèche,Point(-0.076111111 47.699722222)
Derval,Point(-1.671388888 47.6675)
Poissy,Point(2.044722222 48.928888888)
Laroque-des-Albères,Point(2.931944444 42.523055555)
Dossenheim-sur-Zinsel,Point(7.402777777 48.804722222)
Bolsenheim,Point(7.608888888 48.419166666)
Liernais,Point(4.282222222 47.206666666)
Tours,Point(0.688333333 47.392777777)
Cabestany,Point(2.942777777 42.680555555)
Boofzheim,Point(7.680833333 48.331666666)
Chamblanc,Point(5.150555555 47.019722222)
Lagny-sur-Marne,Point(2.706666666 48.878055555)
Bonnencontre,Point(5.1475 47.083611111)
Bettwiller,Point(7.179166666 48.886388888)
Trugny,Point(5.145833333 46.982222222)
Jallanges,Point(5.15 46.988333333)
Valence,Point(4.890833333 44.9325)
Lyon,Point(4.841388888 45.758888888)
Brazey-en-Morvan,Point(4.289722222 47.173055555)
Manlay,Point(4.341666666 47.128888888)
Bard-le-Régulier,Point(4.316111111 47.145555555)
Quimper,Point(-4.097777777 47.995833333)
