pays,capitale,coordonnees
dynastie Yuan,Cambaluc,Point(116.4 39.933333333)
Pays-Bas,La Haye,Point(4.29861 52.07667)
Tuvalu,Funafuti,Point(179.216666666 -8.516666666)
Royaume-Uni,Edinburgh of the Seven Seas,Point(-12.31 -37.067277777)
Palaos,Ngerulmud,Point(134.624167 7.500556)
Iran,Anshan,Point(52.407777777 30.011666666)
Allemagne,Berlin,Point(13.383333333 52.516666666)
Inde,Cherrapunji,Point(91.69619 25.30089)
Royaume-Uni,Cockburn Town,Point(-71.141388888 21.460277777)
Espagne,Elda,Point(-0.7975 38.473055555)
États-Unis,Washington,Point(-77.036666666 38.895)
Pays-Bas,Oranjestad,Point(-62.983333333 17.483333333)
Portugal,Alcochete,Point(-8.960833333 38.755277777)
Arménie,Artaxata,Point(44.57943 39.886613)
Honduras,Nacaome,Point(-87.483333333 13.533333333)
États-Unis,Poste Arkansas,Point(-91.349 34.019)
période Joseon,Hanseongbu,Point(127.0 37.583333333)
Libye,Tripoli,Point(13.18746 32.87519)
Éthiopie,Addis-Abeba,Point(38.736944444 9.027222222)
Sénégal,Tambacounda,Point(-13.667222 13.768889)
Royaume-Uni,Londres,Point(-0.1275 51.507222222)
Koweït,Koweït,Point(47.98 29.375)
Iran,Téhéran,Point(51.416666666 35.7)
Djibouti,Djibouti,Point(43.148055555 11.595)
Uruguay,Canelones,Point(-56.27778 -34.52278)
République dominicaine,Saint-Domingue,Point(-69.893333333 18.476388888)
Haïti,Port-au-Prince,Point(-72.338611111 18.5425)
Sri Lanka,Colombo,Point(79.833333333 6.916666666)
Iran,Ecbatane,Point(48.516247 34.8065)
Japon,Asuka-kyō,Point(135.81305556 34.48222222)
Empire coréen,Hanseongbu,Point(127.0 37.583333333)
Suisse,Berne,Point(7.44743 46.94798)
Érythrée,Asmara,Point(38.916666666 15.333333333)
Espagne,Alzira,Point(-0.435 39.15)
Antigua-et-Barbuda,Saint John's,Point(-61.844722222 17.121111111)
Jamaïque,Kingston,Point(-76.793055555 17.971388888)
Indonésie,Jakarta,Point(106.84513 -6.21462)
Turquie,Édesse,Point(38.783961111 37.145655555)
Turquie,Ankara,Point(32.85 39.93)
Turquie,Sardes,Point(28.040278 38.488333)
Suisse,Fribourg,Point(7.15 46.8)
Espagne,Cirat,Point(-0.463333333 40.054722222)
Mexique,Loreto,Point(-111.343333333 26.012777777)
Iran,Shahr-e Qumis,Point(54.0375 35.961666666)
Barbade,Bridgetown,Point(-59.616666666 13.0975)
dynastie Song du Sud,Jiankang,Point(118.79647 32.05837)
dynastie Jin,Jiankang,Point(118.79647 32.05837)
Royaume-Uni,Sainte Anne d'Aurigny,Point(-2.205833333 49.713333333)
