pays,ville,coordonnesgroup
Algérie,Bir El Djir,Point(-0.554166666 35.736666666)
Algérie,Deldoul,Point(-0.433333333 28.016666666) | Point(3.253055555 34.205277777)
Algérie,El-Khroub,Point(6.693611111 36.263333333)
Algérie,Kenadsa,Point(-2.416666666 31.533333333)
Algérie,M'Sila,Point(4.541944444 35.705833333)
Algérie,Tinzaouten,Point(2.966666666 19.953333333)
Algérie,Tadmit,Point(2.9885387 34.2866517)
Algérie,Tit,Point(1.48367 26.9508)
Algérie,Bab El Oued,Point(3.049730555 36.790702777)
Algérie,Ben Choud,Point(3.8805771 36.8623517)
Algérie,Tamekten,Point(1.015 27.021666666)
Algérie,Timiaouine,Point(1.810555555 20.437222222)
Algérie,Alaïmia,Point(-0.21943 35.67492)
Algérie,Ammari (Tissemsilt),Point(1.66226 35.57713)
Algérie,Beni Guecha,Point(7.336121 33.998027) | Point(7.61527778 34.20527778)
Algérie,Hydra,Point(3.040277777 36.747222222)
Algérie,Aïn Abessa,Point(5.295 36.3)
Algérie,Aïn Beida (Ouargla),Point(5.40027778 31.93833333)
Algérie,Aïn Fares (M'Sila),Point(4.42805556 34.89861111)
Algérie,Aïn Fetah,Point(-1.63861111 34.96555556)
Algérie,Aïn Fras,Point(-0.1575 35.206388888)
Algérie,Aïn Thrid,Point(-0.67583333 35.28472222)
Algérie,Aïn Zerga,Point(8.259722222 35.648611111)
Algérie,Aïn Zitoun,Point(6.93555556 35.68444444)
Algérie,Aït Khellili,Point(4.30839 36.6579)
Algérie,Aït Yahia,Point(4.33027778 36.58111111)
Algérie,Bazer Sakhra,Point(5.711111111 36.116666666)
Algérie,Beni Boussaïd,Point(-1.75305556 34.64805556)
Algérie,Beni Chaib,Point(1.79953 35.82014)
Algérie,Beni Semiel,Point(-1.02665 34.81678)
Algérie,Beni Zmenzer,Point(4.04202 36.64775)
Algérie,Bir Bou Haouch,Point(7.4666667 36.05)
Algérie,Bir Dheb,Point(7.9384 35.5248)
Algérie,Bou Henni,Point(-0.0843287 35.5604744)
Algérie,Boudriaa Ben Yadjis,Point(5.8071714 36.5992076)
Algérie,Boufatis,Point(-0.4113007 35.6796096)
Algérie,Bouira Lahdab,Point(3.1422615 35.2439368)
Algérie,Bounouh,Point(3.93333 36.5)
Algérie,Bourkika,Point(2.475915 36.4931118)
Algérie,Beni Zid,Point(6.5056229 36.807979)
Algérie,Bouiche,Point(4.111111111 36.322222222)
Algérie,Djouab,Point(3.433333 36.133333)
Algérie,Ramdane Djamel,Point(6.9 36.75)
Algérie,Slim,Point(3.73472222 34.89694444)
Algérie,Dechmia,Point(3.57656 36.13002)
Algérie,Dehahna,Point(5.00884 35.73312)
Algérie,Derrag,Point(2.38778 35.90861)
Algérie,Djellal,Point(6.9 34.916667)
Algérie,Doui Thabet,Point(-0.077777777 34.893055555)
Algérie,El Harmilia,Point(6.619263 35.923532)
Algérie,El M'hir,Point(4.38388889 36.11833333)
Algérie,Aghlal,Point(-1.06923 35.201648)
Algérie,Gharrous,Point(0.40084 35.19574)
Algérie,Guerrouma,Point(3.4272194 36.4333853)
Algérie,Guettara,Point(4.6852 33.1586)
Algérie,Hammam Beni Salah,Point(8.03416667 36.51972222)
Algérie,Hannacha,Point(2.566667 36.183333)
Algérie,Hassi Bounif,Point(-0.5 35.7)
Algérie,Hassi Mefsoukh,Point(-0.33333333 35.78333333)
Algérie,Oued El Berdi,Point(3.91888889 36.28888889)
Algérie,Baba Hassen,Point(2.983333 36.683333)
Algérie,Kasdir,Point(-1.358333333 33.709722222)
Algérie,Kheneg,Point(2.7941322 33.7446112)
Algérie,Khirane,Point(6.76045 34.99861)
Algérie,Kouinine,Point(6.8262863 33.4042639)
Algérie,Larhat,Point(1.801414 36.55867)
Algérie,Aïn Fekan,Point(-0.00166667 35.225)
Algérie,Sidi Embarek,Point(4.91194444 36.10388889)
Algérie,Tilmouni,Point(-0.54848 35.17407)
Algérie,M'Tarfa,Point(4.6176 35.6994)
Algérie,Mechtras,Point(4.004935 36.544829)
