pays,ville,coordonnesgroup
Maroc,Ras El Ain (province de Safi),Point(-8.4878 32.0234)
Maroc,Bourd,Point(-4.094722222 34.734444444)
Maroc,Rbaa El Fouki,Point(-4.282777777 34.384444444)
Maroc,Smià,Point(-4.39 34.030555555)
Maroc,Lebkhata,Point(-2.378333333 34.208055555)
Maroc,Meknassa Acharqia,Point(-3.963333333 34.309722222)
Maroc,Oulad Boubker,Point(-3.390833333 34.854166666)
Maroc,Ouled Daoud,Point(-4.693888888 34.405833333)
Maroc,Royaume zianide de Tlemcen,Point(-7.348953 33.450098)
Maroc,Sidi Youssef Ben Ahmed,Point(-4.815277777 33.786111111)
Maroc,Talilit,Point(-3.547777777 35.148333333)
Maroc,Safi,Point(-9.233333333 32.283333333)
Maroc,Ain Timguenai,Point(-4.488611111 33.855)
Maroc,Sidi Yahya Ou Saad,Point(-5.58333 32.6833)
Maroc,Bsara,Point(-2.21926 34.6844) | Point(-2.226388888 34.706388888)
Maroc,Fask,Point(-9.836111111 28.990555555)
Maroc,Moulay Driss Aghbal,Point(-6.498611111 33.789722222)
Maroc,Mrija,Point(-2.383055555 34.021111111)
Maroc,Tizguite,Point(-5.14616 33.62865) | Point(-5.140555555 34.567222222)
Maroc,Ait Belkacem,Point(-6.376111111 33.828055555)
Maroc,Brarha,Point(-4.297222222 34.45)
Maroc,Ain Johra,Point(-6.35 34.1)
Maroc,Bni Zoli,Point(-5.861944444 30.483888888) | Point(-5.85629 30.50465)
Maroc,Bouchaouene,Point(-3.095 32.678055555) | Point(-3.05716 32.77605)
Maroc,Brachoua,Point(-6.632777777 33.696388888)
Maroc,Dar El Hamra,Point(-4.371666666 33.695833333)
Maroc,Fezouane,Point(-2.204166666 34.916388888)
Maroc,Maatarka,Point(-2.703055555 33.261111111) | Point(-2.55645 33.21056)
Maroc,Mejji,Point(-9.35 31.55)
Maroc,Oumazza,Point(-6.785833333 33.880833333)
Maroc,Oulad Bourima,Point(-3.749166666 34.353888888)
Maroc,Labouirat,Point(-9.963805555 27.932138888)
Maroc,Iaazzanene,Point(-3.115 35.254444444)
Maroc,Imgdal,Point(-8.133611111 31.109722222)
Maroc,Ouaouzgane,Point(-4.51666667 35.01666667)
Maroc,Oulad M'Rabet,Point(-9.193333333 31.423611111)
Maroc,Oum Rabia,Point(-5.414722222 33.056111111)
Maroc,Argana,Point(-9.125884 30.778787) | Point(-9.11968 30.7825)
Maroc,Afsou,Point(-3.176666666 34.8325)
Maroc,Ait Mait,Point(-3.381388888 35.088611111)
Maroc,Ait Zineb,Point(-7.132222222 30.988333333)
Maroc,Iksane,Point(-3.03333333 35.13333333)
Maroc,Lamrija,Point(-3.279166666 33.991111111)
Maroc,Sidi Ahmed Cherif,Point(-5.273333333 34.565833333)
Maroc,Tsaft,Point(-3.728 34.889722222)
Maroc,Al Barkanyene,Point(-2.603055555 35.063888888)
Maroc,Arekmane,Point(-2.72555566 35.11722183)
Maroc,Bni Oukil Oulad M'Hand,Point(-3.042222222 35.000555555)
Maroc,Bni Sidel Jbel,Point(-3.048055555 35.185)
Maroc,Abou Lakhal,Point(-1.513333333 32.156944444)
Maroc,Aïn Attig,Point(-6.960555555 33.878888888)
Maroc,Bni Guil,Point(-1.88151 32.44804) | Point(-1.888333333 32.463888888)
Maroc,Tamezmoute,Point(-6.114166666 30.8075)
Maroc,Oulad Ayyad,Point(-6.38333 32.3333)
Maroc,Iferni,Point(-3.660555555 34.995277777)
Maroc,Ijermaouas,Point(-3.67861104 35.06999969)
Maroc,Laanoussar,Point(-4.81666667 33.68333333)
Maroc,Oulad Settout,Point(-2.766944444 34.923333333)
Maroc,El Hajeb,Point(-5.371111111 33.692777777)
Maroc,Chouihia,Point(-2.66371 34.81317) | Point(-2.617777777 34.871944444)
Maroc,Ras Asfour,Point(-1.822777777 34.497222222)
Maroc,Ahl Angad,Point(-1.940555555 34.786666666) | Point(-1.8579 34.68924)
Maroc,Ain Sbit,Point(-6.524166666 33.5575)
Maroc,Dayat Aoua,Point(-5.008333333 34.653888888)
Maroc,Mtarnagha,Point(-4.575 33.8525)
Maroc,Sidi Abderrazak,Point(-6.161666666 33.963333333)
Maroc,Sidi Hcine,Point(-5.998333333 33.054166666)
Maroc,Sidi Yahya Zaër,Point(-6.88308 33.71045) | Point(-6.903888888 33.826111111)
Maroc,Bni Mathar,Point(-2.00319 33.94648) | Point(-2.024722222 34.088888888)
Maroc,Saâda (commune),Point(-8.102777777 31.625833333)
Maroc,Tassoultante,Point(-7.976111111 31.554166666)
Maroc,Guigou,Point(-4.83299 33.3824)
Maroc,Nagga,Point(-9.001111111 31.9975) | Point(-9.04334 32.05714)
Maroc,Adis,Point(-7.985555555 29.691944444)
Maroc,Isly,Point(-2.04789 34.68511) | Point(-1.996111111 34.688055555)
Maroc,Ain Chouater,Point(-2.965 31.850277777)
Maroc,Ain Sfa,Point(-2.143333333 34.752222222)
Maroc,Ait Malek,Point(-7.13333 31.6167)
Maroc,Marchouch,Point(-6.693055555 33.558055555)
Maroc,Sidi Aissa,Point(-8.855 32.408611111)
Maroc,Aghbalou N'kerdous,Point(-5.29759 31.67671) | Point(-5.316944444 31.761111111)
Maroc,Asrir,Point(-10.0 28.926)
Maroc,Chorfa M'Daghra,Point(-4.359166666 31.895)
Maroc,El Hammam,Point(-5.723333333 32.76)
Maroc,Brikcha,Point(-5.58333333 34.96666667)
Maroc,Hattane,Point(-6.8025 32.840277777)
Maroc,Tamanar,Point(-9.675555555 31.083333333)
Maroc,Tancherfi,Point(-2.62549 34.3539)
Maroc,Kissane,Point(-5.08333 34.6)
Maroc,Guelmim,Point(-10.066666666 28.983333333)
Maroc,Sidi Ahmed Laaroussi,Point(-11.773333333 26.822777777)
Maroc,Chefchaouen,Point(-5.269722222 35.171388888)
Maroc,Figuig,Point(-1.226944444 32.116666666)
Maroc,Aït Imour,Point(-8.296666666 31.545555555)
