pays,ville,coordonnesgroup
Viêt Nam,Đà Nẵng,Point(108.209722222 16.069444444)
Viêt Nam,Phan Thiết,Point(108.158333333 10.9375)
Viêt Nam,Hà Giang,Point(104.983611111 22.823333333)
Viêt Nam,Hội An,Point(108.33265 15.877669444)
Viêt Nam,Quy Nhơn,Point(109.231372222 13.769580555)
Viêt Nam,Phú Quốc,Point(103.957222222 10.228888888)
Viêt Nam,Biên Hòa,Point(106.868067 10.927686)
Viêt Nam,Cap Saint Jacques,Point(107.141666666 10.404166666)
Viêt Nam,Buôn Ma Thuột,Point(108.05 12.666666666)
Viêt Nam,Cam Ranh,Point(109.136944444 11.913611111)
Viêt Nam,Kon Tum,Point(107.979166666 14.341666666)
Viêt Nam,Long Xuyên,Point(105.4234 10.36857)
Viêt Nam,Quảng Ngãi,Point(108.792222222 15.120555555)
Viêt Nam,Thái Bình,Point(106.342222222 20.446111111)
Viêt Nam,Hô Chi Minh-Ville,Point(106.633333333 10.816666666)
Viêt Nam,Bến Tre,Point(106.383333333 10.233333333)
Viêt Nam,Móng Cái,Point(107.967958333 21.529794444)
Viêt Nam,Việt Trì,Point(105.394652777 21.313558333)
Viêt Nam,Châu Dôc,Point(105.116666666 10.7)
Viêt Nam,Cao Lãnh,Point(105.633055555 10.460277777)
Viêt Nam,Hạ Long,Point(107.085153 20.951396)
Viêt Nam,Tam Kỳ,Point(108.483333333 15.566666666)
Viêt Nam,Thanh Hóa,Point(105.776388888 19.8075)
Viêt Nam,Phan Rang - Tháp Chàm,Point(108.98858 11.56432)
Viêt Nam,Bắc Giang,Point(106.192209 21.27356)
Viêt Nam,Cà Mau,Point(105.15 9.183333333)
Viêt Nam,Ðiện Biên Phủ,Point(103.016944444 21.383333333)
Viêt Nam,Hà Tĩnh (ville),Point(105.905833333 18.343055555)
Viêt Nam,Ninh Bình,Point(105.975 20.253888888)
Viêt Nam,Tuy Hòa,Point(109.308589 13.0868719)
Viêt Nam,Tuyên Quang,Point(105.21564 21.82806)
Viêt Nam,Hué,Point(107.590825 16.463711111)
Viêt Nam,Hưng Yên,Point(106.051111111 20.646388888)
Viêt Nam,Lào Cai,Point(103.995 22.419444444)
Viêt Nam,Mỹ Tho,Point(106.35 10.35)
Viêt Nam,Vinh Long,Point(105.975277777 10.255)
Viêt Nam,Vĩnh Yên,Point(105.596666666 21.31)
Viêt Nam,Sóc Trăng,Point(105.971944444 9.6)
Viêt Nam,Hòa Bình,Point(105.3375 20.8175)
Viêt Nam,Tây Ninh,Point(106.096344 11.3130942)
Viêt Nam,Đà Lạt,Point(108.438333333 11.941666666)
Viêt Nam,Tân An,Point(106.404166666 10.532222222)
Viêt Nam,Yên Bái,Point(104.866666666 21.7) | Point(104.906388888 21.7325)
Viêt Nam,Bắc Ninh,Point(106.07631 21.18608)
Viêt Nam,Dông Hà,Point(107.090555555 16.805555555)
Viêt Nam,Lạng Sơn,Point(106.757777777 21.847777777)
Viêt Nam,Pleiku,Point(108.014673 13.971519)
Viêt Nam,Rạch Giá,Point(105.080833333 10.0125)
Viêt Nam,Sơn La,Point(103.914127777 21.327033333)
Viêt Nam,Trà Vinh,Point(106.341111 9.936944)
Viêt Nam,Vinh,Point(105.692222222 18.673333333) | t2288816684
Viêt Nam,Haïphong,Point(106.666666666 20.8)
Viêt Nam,Di An,Point(106.7678954 10.9038708) | Point(106.778055555 10.906944444)
Viêt Nam,Thủ Dầu Một,Point(106.658333333 11.004166666)
Viêt Nam,Côn Đảo,Point(106.606264 8.683272)
Viêt Nam,District de Sầm Sơn,Point(105.9 19.7333)
Viêt Nam,Bạc Liêu,Point(105.716666666 9.283333333)
Viêt Nam,Cẩm Phả,Point(107.272835 21.009436)
Viêt Nam,Cao Bằng,Point(106.25 22.673055555)
Viêt Nam,Ville de Sa Đéc,Point(105.73968 10.31052)
Viêt Nam,Hanoï,Point(105.84117 21.0245)
Viêt Nam,Bà Rịa,Point(107.167469 10.4990423)
Viêt Nam,Lai Châu,Point(103.439256 22.3991072)
Viêt Nam,Cần Thơ,Point(105.783333333 10.033333333)
Viêt Nam,Hai Duong,Point(106.330858 20.939855)
Viêt Nam,Uông Bí,Point(106.7646249 21.0356517)
Viêt Nam,Hoa Lu,Point(105.95416667 20.25527778)
Viêt Nam,Tam Điệp,Point(105.898469 20.148747)
Viêt Nam,Sông Công,Point(105.813055555 21.487222222)
Viêt Nam,Nha Trang,Point(109.190764 12.249527)
Viêt Nam,Indrapura,Point(108.383055555 15.666944444)
Viêt Nam,Nam Định,Point(106.168333333 20.42)
Viêt Nam,Thủ Đức,Point(106.790947 10.819946)
Viêt Nam,Đồng Hới,Point(106.6 17.483333333)
Viêt Nam,Bảo Lộc,Point(107.807719444 11.547980555)
Viêt Nam,Thái Nguyên,Point(105.85 21.6)
Viêt Nam,Vi Thanh,Point(105.470833333 9.783333333)
