pays,ville,coordonnesgroup
Tunisie,Ajim,Point(10.748642 33.724868)
Tunisie,Bouhjar,Point(10.86 35.68)
Tunisie,Tabarka,Point(8.755 36.955)
Tunisie,Hergla,Point(10.5 36.033333333)
Tunisie,Testour,Point(9.45 36.55)
Tunisie,Mdhilla,Point(8.752624 34.290955)
Tunisie,Tozeur,Point(8.133611111 33.919722222)
Tunisie,Jendouba,Point(8.780277777 36.501111111)
Tunisie,La Manouba,Point(10.1 36.8)
Tunisie,Hammam Lif,Point(10.3275 36.730833333)
Tunisie,Menzel Bouzaiane,Point(9.425602777 34.572113888)
Tunisie,Chenini Nahal,Point(10.08 33.9)
Tunisie,Bizerte,Point(9.873888888 37.274444444)
Tunisie,Mahdia,Point(11.062222222 35.504722222)
Tunisie,Monastir,Point(10.82617 35.77799)
Tunisie,Sousse,Point(10.633333333 35.833333333)
Tunisie,Jedelienne,Point(9.056511 35.593564)
Tunisie,Ariana,Point(10.195555555 36.8625)
Tunisie,Gabès,Point(10.098333333 33.881388888)
Tunisie,M'saken,Point(10.583333333 35.733333333)
Tunisie,El Mourouj,Point(10.16 36.68)
Tunisie,Jemmal,Point(10.76 35.64)
Tunisie,Le Kram,Point(10.31666667 36.83333333)
Tunisie,El Hamma du Jérid,Point(8.17692 34.0205)
Tunisie,Enfida,Point(10.380922222 36.135294444)
Tunisie,Zéramdine,Point(10.73 35.58)
Tunisie,El Ksar,Point(8.8 34.39)
Tunisie,Béni Khalled,Point(10.591428 36.649175)
Tunisie,Fériana,Point(8.5625 34.943055555)
Tunisie,El Golâa,Point(9.007823 33.483644)
Tunisie,Gaâfour,Point(9.324166666 36.320555555)
Tunisie,Sidi Ali Ben Aoun,Point(9.03 34.85)
Tunisie,Sidi Bou Rouis,Point(9.11666667 36.16666667)
Tunisie,Chebba,Point(11.115 35.237222222)
Tunisie,La Soukra,Point(10.25 36.88333333)
Tunisie,Mahrès,Point(10.498378495 34.521785618)
