pays,ville,coordonnesgroup
États-Unis,Lake Andes,Point(-98.538055555 43.156944444)
États-Unis,Port Wentworth,Point(-81.18 32.1644)
États-Unis,Bragg City,Point(-89.9117 36.2686)
États-Unis,Bunceton,Point(-92.7986 38.7889)
États-Unis,Canalou,Point(-89.6869 36.7544)
États-Unis,Cibolo,Point(-98.235 29.567222222)
États-Unis,Cole Camp,Point(-93.2044 38.4594)
États-Unis,Ellsinore,Point(-90.7464 36.9344)
États-Unis,Esbon,Point(-98.4339 39.8228)
États-Unis,Fair Grove,Point(-93.1511 37.3811)
États-Unis,Fordland,Point(-92.9406 37.1572)
États-Unis,Frohna,Point(-89.6192 37.6406)
États-Unis,Graford,Point(-98.2478 32.9381)
États-Unis,Hale Center,Point(-101.845833333 34.064722222)
États-Unis,Hilshire Village,Point(-95.488055555 29.790277777)
États-Unis,Homestown,Point(-89.8247 36.3317)
États-Unis,Horizon City,Point(-106.196 31.6822)
États-Unis,Kahoka,Point(-91.7167 40.4167)
États-Unis,Lake Lotawana,Point(-94.2533 38.9267)
États-Unis,Lamesa,Point(-101.958055555 32.734444444)
États-Unis,McFall,Point(-94.22139 40.11056)
États-Unis,Morgan's Point,Point(-94.999444444 29.676388888)
États-Unis,Neck City,Point(-94.4439 37.2564)
États-Unis,New Home,Point(-101.912222222 33.326388888)
États-Unis,Oak Ridge North,Point(-95.44389 30.15861)
États-Unis,Ore City,Point(-94.7175 32.8008)
États-Unis,Palmview,Point(-98.375555555 26.226666666)
États-Unis,Quasqueton,Point(-91.759166666 42.394722222)
États-Unis,Reserve,Point(-95.5644 39.9764)
États-Unis,San Elizario,Point(-106.265833333 31.582777777)
États-Unis,Sikeston,Point(-89.585277777 36.879444444)
États-Unis,Silsbee,Point(-94.1803 30.3481)
États-Unis,Sullivan City,Point(-98.5683 26.275)
États-Unis,Sunrise Beach Village,Point(-98.4164 30.5961)
États-Unis,Taylor Landing,Point(-94.131111111 29.862222222)
États-Unis,Washta,Point(-95.718055555 42.575833333)
États-Unis,West Alton,Point(-90.2258 38.8678)
États-Unis,Wolfforth,Point(-102.012 33.5039)
États-Unis,Woodson Terrace,Point(-90.3594 38.7272)
États-Unis,Álamo,Point(-98.117777777 26.185)
États-Unis,Ambler,Point(-157.86 67.085)
États-Unis,Arcola,Point(-95.46361 29.50111) | Point(-88.30583 39.68333)
États-Unis,Barre,Point(-72.5083188 44.1996647)
États-Unis,Carlisle,Point(-91.744722222 34.786111111) | Point(-93.490277777 41.501111111) | Point(-84.031944444 38.315833333)
États-Unis,Ceylon,Point(-94.631666666 43.533611111)
États-Unis,Deerfield,Point(-101.135 37.9819)
États-Unis,Delia,Point(-95.9644 39.2394)
États-Unis,Elk Grove,Point(-121.381944444 38.438333333)
États-Unis,Falcon Heights,Point(-93.166388888 44.991666666)
États-Unis,Goldsboro,Point(-77.978055555 35.381944444)
États-Unis,Jarrell,Point(-97.606666666 30.827777777)
États-Unis,Lamont,Point(-91.641111111 42.6)
