leonoreid,bnfids,uribnf
LH/2597/65,13006789j,https://data.bnf.fr/ark:/12148/cb13006789j
LH/776/37,12459909x,https://data.bnf.fr/ark:/12148/cb12459909x
LH/1876/60,12943930z,https://data.bnf.fr/ark:/12148/cb12943930z
LH/2508/47,10593907h,https://data.bnf.fr/ark:/12148/cb10593907h
19800035/176/22791,16205590q,https://data.bnf.fr/ark:/12148/cb16205590q
19800035/160/20483,13163220w,https://data.bnf.fr/ark:/12148/cb13163220w
19800035/1424/64754,122811886,https://data.bnf.fr/ark:/12148/cb122811886
C/0/30,15241827h,https://data.bnf.fr/ark:/12148/cb15241827h
LH/2172/8,17774991c,https://data.bnf.fr/ark:/12148/cb17774991c
LH/2583/54,11926319z,https://data.bnf.fr/ark:/12148/cb11926319z
19800035/18/2261,11065267k,https://data.bnf.fr/ark:/12148/cb11065267k
19800035/755/85627,130786656,https://data.bnf.fr/ark:/12148/cb130786656
LH/1632/67,12250901n,https://data.bnf.fr/ark:/12148/cb12250901n
LH/1262/53,12287936m,https://data.bnf.fr/ark:/12148/cb12287936m
19800035/1436/66268,13008872k,https://data.bnf.fr/ark:/12148/cb13008872k
19800035/558/63502,13962361w,https://data.bnf.fr/ark:/12148/cb13962361w
19800035/153/19551,135129714,https://data.bnf.fr/ark:/12148/cb135129714
LH/1002/50,121468483,https://data.bnf.fr/ark:/12148/cb121468483
LH/227/18,149696815,https://data.bnf.fr/ark:/12148/cb149696815
19800035/1149/31414,11499224k,https://data.bnf.fr/ark:/12148/cb11499224k
19800035/340/45767,12459373c,https://data.bnf.fr/ark:/12148/cb12459373c
LH/233/21,11909525r,https://data.bnf.fr/ark:/12148/cb11909525r
LH/1929/35,137418393,https://data.bnf.fr/ark:/12148/cb137418393
LH/1328/18,10720941v,https://data.bnf.fr/ark:/12148/cb10720941v
19800035/195/25497,15290882f,https://data.bnf.fr/ark:/12148/cb15290882f
19800035/723/82247,110474018,https://data.bnf.fr/ark:/12148/cb110474018
LH/2050/50,12529045v,https://data.bnf.fr/ark:/12148/cb12529045v
LH/2678/32,10726918s,https://data.bnf.fr/ark:/12148/cb10726918s
LH/1971/32,13211614q,https://data.bnf.fr/ark:/12148/cb13211614q
LH/2325/44,13164460x,https://data.bnf.fr/ark:/12148/cb13164460x
LH/1042/59,16549649v,https://data.bnf.fr/ark:/12148/cb16549649v
19800035/755/85612,104026120,https://data.bnf.fr/ark:/12148/cb104026120
LH/1514/72,110212266,https://data.bnf.fr/ark:/12148/cb110212266
LH/1909/33,13007268f,https://data.bnf.fr/ark:/12148/cb13007268f
LH/2556/54,12567508c,https://data.bnf.fr/ark:/12148/cb12567508c
LH/1368/62,12738449n,https://data.bnf.fr/ark:/12148/cb12738449n
LH/2491/6,12337301f,https://data.bnf.fr/ark:/12148/cb12337301f
LH/1469/91,12429519h,https://data.bnf.fr/ark:/12148/cb12429519h
LH/2758/5,10074289q,https://data.bnf.fr/ark:/12148/cb10074289q
LH/1245/1,134242811,https://data.bnf.fr/ark:/12148/cb134242811
LH/1437/62,10528554p,https://data.bnf.fr/ark:/12148/cb10528554p
19800035/890/4259,10217045c,https://data.bnf.fr/ark:/12148/cb10217045c
LH/1427/71,11910531q,https://data.bnf.fr/ark:/12148/cb11910531q
19800035/1246/43843,127569598,https://data.bnf.fr/ark:/12148/cb127569598
19800035/178/23023,124881229,https://data.bnf.fr/ark:/12148/cb124881229
19800035/864/1521,12129155r,https://data.bnf.fr/ark:/12148/cb12129155r
LH/2207/56,11998959s,https://data.bnf.fr/ark:/12148/cb11998959s
19800035/562/64024,121644467,https://data.bnf.fr/ark:/12148/cb121644467
19800035/1188/37523,14952468h,https://data.bnf.fr/ark:/12148/cb14952468h
19800035/661/76007,140310446,https://data.bnf.fr/ark:/12148/cb140310446
LH/1292/38,16759908n,https://data.bnf.fr/ark:/12148/cb16759908n
LH/202/23,10175862r,https://data.bnf.fr/ark:/12148/cb10175862r
LH/1999/2,13013592c,https://data.bnf.fr/ark:/12148/cb13013592c
LH/1768/54,10693189n,https://data.bnf.fr/ark:/12148/cb10693189n
LH/1404/12,13010702d,https://data.bnf.fr/ark:/12148/cb13010702d
LH/221/57,13209925x,https://data.bnf.fr/ark:/12148/cb13209925x
LH/1895/67,14573445t,https://data.bnf.fr/ark:/12148/cb14573445t
LH/2281/43,13494046d,https://data.bnf.fr/ark:/12148/cb13494046d
LH/1681/57,14446787h,https://data.bnf.fr/ark:/12148/cb14446787h
LH/1455/35,135147356,https://data.bnf.fr/ark:/12148/cb135147356
LH/1150/37,130127513,https://data.bnf.fr/ark:/12148/cb130127513
LH/1544/12,133338448 |13333846z,https://data.bnf.fr/ark:/12148/cb133338448 | https://data.bnf.fr/ark:/12148/cb13333846z
LH/553/28,12242134p,https://data.bnf.fr/ark:/12148/cb12242134p
LH/696/2,11899169z,https://data.bnf.fr/ark:/12148/cb11899169z
LH/561/31,40387227x,https://data.bnf.fr/ark:/12148/cb40387227x
LH/389/84,11894467w,https://data.bnf.fr/ark:/12148/cb11894467w
LH/1974/55,12627797q,https://data.bnf.fr/ark:/12148/cb12627797q
LH/2762/45,12951828v,https://data.bnf.fr/ark:/12148/cb12951828v
LH/674/9,12457814r,https://data.bnf.fr/ark:/12148/cb12457814r
LH/1025/30,119033937,https://data.bnf.fr/ark:/12148/cb119033937
LH/148/82,124629459,https://data.bnf.fr/ark:/12148/cb124629459
19800035/1350/56433,119091338,https://data.bnf.fr/ark:/12148/cb119091338
LH/199/2,11891535t,https://data.bnf.fr/ark:/12148/cb11891535t
LH/7/21,11929806q,https://data.bnf.fr/ark:/12148/cb11929806q
19800035/1140/30467,11958862k,https://data.bnf.fr/ark:/12148/cb11958862k
19800035/205/26838,128644364,https://data.bnf.fr/ark:/12148/cb128644364
LH/2777/60,125629893,https://data.bnf.fr/ark:/12148/cb125629893
LH/1258/19,12406064t,https://data.bnf.fr/ark:/12148/cb12406064t
LH/618/72,11898022s,https://data.bnf.fr/ark:/12148/cb11898022s
LH/432/44,10599915k,https://data.bnf.fr/ark:/12148/cb10599915k
LH/2752/2,16117008t,https://data.bnf.fr/ark:/12148/cb16117008t
LH/535/29,123646104,https://data.bnf.fr/ark:/12148/cb123646104
LH/404/67,12551996x,https://data.bnf.fr/ark:/12148/cb12551996x
LH/129/44,11995263c,https://data.bnf.fr/ark:/12148/cb11995263c
19800035/357/48014,11916481f,https://data.bnf.fr/ark:/12148/cb11916481f
LH/1103/38,169986469,https://data.bnf.fr/ark:/12148/cb169986469
LH/1012/52,10696788p,https://data.bnf.fr/ark:/12148/cb10696788p
LH/93/6,123008721,https://data.bnf.fr/ark:/12148/cb123008721
LH/1393/46,122765827,https://data.bnf.fr/ark:/12148/cb122765827
LH/2316/54,121740570,https://data.bnf.fr/ark:/12148/cb121740570
LH/2387/33,119351526,https://data.bnf.fr/ark:/12148/cb119351526
LH/124/32,12315352f,https://data.bnf.fr/ark:/12148/cb12315352f
LH/2327/25,14960271k,https://data.bnf.fr/ark:/12148/cb14960271k
LH/2022/5,13482911j,https://data.bnf.fr/ark:/12148/cb13482911j
19800035/63/7706,123845092,https://data.bnf.fr/ark:/12148/cb123845092
