leonoreid,noms
LH/2531/11,Jean Baptiste Soehnlin
19800035/1328/53941,René Maheu
19800035/85/10635,Fortunat Strowski
LH/1078/20,Francis Garnier
19800035/210/27517,Gabriel Séailles
LH/273/13,François Antoine de Boissy d'Anglas
LH/2058/31,François-Auguste Parseval-Grandmaison
LH/2417/9,Anatole de Cabrières
LH/2474/49,François Ignace Schaal
LH/2597/65,Gabriel-Jules Thomas
LH/776/37,Marcel Dieulafoy
LH/501/94,Gérard d'Onyn de Chastre
LH/351/44,Albert Brandenburg
LH/1876/60,Albert Millaud
LH/2508/47,Georges Serullas
19800035/176/22791,Antoine Lemoine
19800035/160/20483,Julien Noël Costantin
19800035/1424/64754,Emmanuel de Martonne
C/0/30,Auguste Dubail
LH/1601/30,Eugène-Louis Lequesne
LH/2172/8,Joseph Pisani de La Gaude
LH/2583/54,Emmanuel Théaulon
19800035/18/2261,Marcel Haegelen
19800035/755/85627,Marin Molliard
19800035/18/2228,Émile Oscar Guillaume
LH/1262/53,Abbé Hamon
19800035/1179/36529,Achille Auban
19800035/1436/66268,Adolphe Jauréguy
LH/1518/5,Adolphe Le Boucher
19800035/558/63502,Adolphe Marty
19800035/153/19551,Adrien Karbowsky
19800035/749/84921,Adrien Richard
LH/1002/50,Agricol-Joseph Fortia d'Urban
LH/1423/56,Albert-Eugène Lachenal
19800035/252/33552,Albert Aubry
LH/227/18,Albert Bettannier
19800035/1149/31414,Albert Chavanac
19800035/340/45767,Albert Isnard
LH/1929/35,Albert Moreau
LH/2746/54,Albert Weil
LH/1328/18,Alexandre-Antoine Hureau de Sénarmont
19800035/195/25497,Alexandre Bigot
19800035/723/82247,Alexandre Bigot
LH/1208/5,Alexandre Grosjean
LH/1738/66,Alexandre Mari
LH/2050/50,Alexandre Parent du Châtelet
LH/2678/32,Alexandre Vattemare
LH/1971/32,Alexis Muzet
LH/2325/44,Alfred Richet
LH/152/21,Alfred Beau
19800035/125/15811,Alfred Butot
LH/1042/59,Alfred Fronval
19800035/173/22289,Alfred Krieger
19800035/755/85612,Alfred Lartigue
LH/1514/72,Alfred LeBlanc
19800035/1020/17778,Alfred Maurice Cazaud
LH/1909/33,Alfred Monnet
19800035/1228/41650,Alfred Poindron
LH/2556/54,Alfred Sudre
LH/1368/62,Alix Joffroy
LH/1702/19,Alphonse Malaquin
LH/1489/1,Alphonse Martin Larue
LH/2491/6,Charles-Emmanuel Sédillot
LH/1237/41,Amédée Henri Guillemin
19800035/290/38933,Amédée Jobin
LH/1469/91,Amédée Jérôme Langlois
19800035/1405/62359,Amédée Reille
LH/2758/5,Amédée Willot
LH/2329/25,Amélie Rigard
LH/1245/1,Anatole Guindey
LH/1437/62,Anatole de La Forge
19800035/672/77119,André Bergeret
19800035/426/56920,André Détolle
LH/1271/40,André Haudry de Soucy
LH/1427/71,André Lacroix
19800035/1246/43843,André Loyen
19800035/178/23023,André Maublanc
19800035/864/1521,André Mouëzy-Éon
LH/2207/56,André Pottier
19800035/562/64024,André Pératé
19800035/849/97166,André Troller
LH/2204/71,André Étienne Postel-Vinay
19800035/1188/37523,Andrée Bordeaux-Le Pecq
19800035/661/76007,Andrée de Chauveron
LH/1292/38,Anne-Charles Hérisson
LH/1940/4,Annet Morio de L'Isle
19800035/1405/62360,Anselme Patureau-Mirand
LH/202/23,Antoine-Théodore Bernex
19800035/132/16730,Antoine Blanc
19800035/541/61908,Antoine Marie-Charles Fabre
LH/1999/2,Antoine Noguès
LH/2582/83,Antoine Tezenas
LH/1185/31,Antoine de Gramont d'Aster
LH/1768/54,Antony Martinet
LH/1404/12,Antony Klobukowski
LH/221/57,Armand Besnard
LH/1571/75,Armand Charles Louis Le Lièvre de La Grange
LH/1877/54,Armand Louis Amélie Millet de Villeneuve
LH/1878/64,Armand Louis Amélie Millet de Villeneuve
LH/1895/67,Armand Moisant
LH/2281/43,Armand Reclus
LH/1681/57,Armand de Mackau
LH/1455/35,Arsène Lambert
