departement,ville,coordonnesgroup
Pas-de-Calais,Quiéry-la-Motte,Point(2.978055555 50.365833333)
Pas-de-Calais,Saulty,Point(2.530555555 50.2125)
Pas-de-Calais,Vaulx-Vraucourt,Point(2.908611111 50.146666666)
arrondissement de Saint-Nazaire,Prinquiau,Point(-2.011111111 47.362777777)
arrondissement de Grenoble,Saint-Just-de-Claix,Point(5.283888888 45.074722222)
arrondissement de Grenoble,Têche,Point(5.381388888 45.182777777)
Lozère,Rimeize,Point(3.323888888 44.765)
arrondissement de Provins,Vanvillé,Point(3.106944444 48.555277777)
arrondissement de Boulogne-sur-Mer,Saint-Martin-Boulogne,Point(1.632222222 50.725833333)
arrondissement de Boulogne-sur-Mer,Senlecques,Point(1.935555555 50.646666666)
arrondissement de Nice,Puget-Théniers,Point(6.893611111 43.956111111)
arrondissement de Vervins,Prisces,Point(3.862222222 49.779166666)
arrondissement de Vervins,Puisieux-et-Clanlieu,Point(3.677222222 49.853888888)
canton de Mont-de-Marsan-Nord,Saint-Avit,Point(-0.445277777 43.941111111)
arrondissement de Roanne,Roanne,Point(4.068055555 46.036111111)
arrondissement d'Agen,Saint-Sardos,Point(0.477777777 44.340833333)
arrondissement de Villefranche-sur-Saône,Pommiers,Point(4.6925 45.955277777)
canton de Saint-Paul-Cap-de-Joux,Prades,Point(1.973611111 43.613333333)
arrondissement d'Auch,Polastron,Point(0.844722222 43.531111111)
arrondissement de Reims,Ville-en-Selve,Point(4.081111111 49.126111111)
Côte-d'Or,Saint-Marc-sur-Seine,Point(4.605 47.701111111)
Côte-d'Or,Villaines-en-Duesmois,Point(4.525833333 47.682222222)
canton de Campagne-lès-Hesdin,Saint-Rémy-au-Bois,Point(1.874166666 50.366944444)
Charente,Saint-Germain,Point(0.684444444 46.053055555) | Point(0.419444444 45.623055555)
canton de Guise,Romery,Point(3.724444444 49.897222222)
district de Lorraine,Rouhling,Point(7.0025 49.137222222)
arrondissement de Vannes,Saint-Léry,Point(-2.256111111 48.09)
arrondissement de Vannes,Séné,Point(-2.737222222 47.619722222)
arrondissement de Vannes,Surzur,Point(-2.629722222 47.578333333)
arrondissement de Vannes,Taupont,Point(-2.438611111 47.958611111)
canton de Baraqueville-Sauveterre,Pradinas,Point(2.263888888 44.239722222)
arrondissement de Palaiseau,Vauhallan,Point(2.2075 48.733888888)
arrondissement de Digne-les-Bains,Selonnet,Point(6.311111111 44.371111111)
arrondissement de Montbrison,Rozier-en-Donzy,Point(4.277777777 45.798055555)
