leonoreid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc
19800035/551/62902,1863-12-10T00:00:00Z,Liège,Point(5.570555555 50.639722222),1926-09-03T00:00:00Z,Montreux,Point(6.916666666 46.433333333)
LH/2/26,1808-09-06T00:00:00Z,Mascara,Point(0.133333333 35.4),1883-05-26T00:00:00Z,Damas,Point(36.291944444 33.513055555)
LH/1177/67,,,,1893-10-18T00:00:00Z,Saint-Cloud,Point(2.215277777 48.846388888)
LH/2285/49,1810-07-21T00:00:00Z,Aix-la-Chapelle,Point(6.083788 50.776207),1878-01-19T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/369/64,1824-06-28T00:00:00Z,Sainte-Foy-la-Grande,Point(0.217222222 44.840555555),1880-07-09T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/2165/73,1745-04-20T00:00:00Z,Jonquières,Point(2.125555555 43.649166666),1826-10-25T00:00:00Z,Paris,Point(2.351388888 48.856944444)
19800035/161/20663,1860-06-25T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1956-02-18T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1775/32,1846-06-23T00:00:00Z,Paris,Point(2.351388888 48.856944444),1916-06-30T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1899/55,1770-03-07T00:00:00Z,Hayange,Point(6.061944444 49.329722222),1849-07-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
19800035/1096/25811,1903-05-08T00:00:00Z,Marseille,Point(5.376388888 43.296666666),1971-02-26T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/2460/35,1856-04-06T00:00:00Z,Carcassonne,Point(2.351388888 43.215833333),1929-03-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1003/68,1775-08-31T00:00:00Z,Perpignan,Point(2.894722222 42.6975),1849-06-03T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/668/20,1761-08-18T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),1840-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/668/20,1761-08-18T00:00:00Z,Boulogne-sur-Mer,Point(1.613888888 50.725555555),1840-06-20T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1969/60,1810-12-11T00:00:00Z,Paris,Point(2.351388888 48.856944444),1857-05-02T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/846/5,1801-08-04T00:00:00Z,Paris,Point(2.351388888 48.856944444),1884-01-28T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1373/8,1777-11-17T00:00:00Z,Versailles,Point(2.134166666 48.804722222),1862-09-23T00:00:00Z,Paris,Point(2.351388888 48.856944444)
19800035/80/9976,1884-10-15T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666),1955-07-10T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1778/31,1758-05-06T00:00:00Z,Nice,Point(7.268333333 43.701944444),1817-04-04T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1755/11,1806-12-16T00:00:00Z,Venise,Point(12.331944444 45.439722222),1885-01-12T00:00:00Z,Paris,Point(2.351388888 48.856944444)
LH/1943/17,1791-04-27T00:00:00Z,Charlestown,Point(-71.064444444 42.375277777),1872-04-02T00:00:00Z,New York,Point(-73.94 40.67)
LH/1943/17,1791-04-27T00:00:00Z,Boston,Point(-71.0625 42.358333333),1872-04-02T00:00:00Z,New York,Point(-73.94 40.67)
LH/128/77,1881-03-25T00:00:00Z,Sânnicolau Mare,Point(20.629444444 46.072222222),1945-09-26T00:00:00Z,New York,Point(-73.94 40.67)
C/0/47,1794-11-06T00:00:00Z,Maromme,Point(1.041944444 49.481944444),1864-05-22T00:00:00Z,Alger,Point(3.058611111 36.776388888)
LH/2284/50,1794-07-30T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-02-01T00:00:00Z,Cannes,Point(7.021388888 43.5525)
LH/2284/50,1794-07-29T00:00:00Z,Paris,Point(2.351388888 48.856944444),1870-02-01T00:00:00Z,Cannes,Point(7.021388888 43.5525)
LH/1624/1,1839-02-14T00:00:00Z,Königsberg,Point(20.516666666 54.716666666),1908-07-02T00:00:00Z,Berlin,Point(13.383333333 52.516666666)
LH/2754/30,1772-08-07T00:00:00Z,Königsberg,Point(20.516666666 54.716666666),1859-12-07T00:00:00Z,Berlin,Point(13.383333333 52.516666666)
LH/300/80,1810-11-08T00:00:00Z,Mont-de-Marsan,Point(-0.500555555 43.890277777),1861-02-05T00:00:00Z,Pau,Point(-0.37 43.300833333)
LH/300/80,1810-11-08T00:00:00Z,Mont-de-Marsan,Point(-0.500555555 43.890277777),1861-02-11T00:00:00Z,Pau,Point(-0.37 43.300833333)
LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-04T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-05T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-04T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
LH/482/32,1823-03-18T00:00:00Z,Nouart,Point(5.049722222 49.44),1883-01-05T00:00:00Z,Châlons-en-Champagne,Point(4.364444444 48.956666666)
C/0/46,1784-01-17T00:00:00Z,Ajaccio,Point(8.736388888 41.925555555),1863-10-13T00:00:00Z,hôtel des Invalides,Point(2.3125 48.855)
19800035/253/33692,1860-08-05T00:00:00Z,Toulouse,Point(1.443888888 43.604444444),1943-11-12T00:00:00Z,France,Point(2.0 47.0)
LH/2392/42,1845-05-15T00:00:00Z,Perpignan,Point(2.894722222 42.6975),1929-01-01T00:00:00Z,Vineuil,Point(1.635277777 46.900833333)
LH/1268/16,1768-12-07T00:00:00Z,Saint-Étienne-de-Baïgorry,Point(-1.346388888 43.175),1855-05-26T00:00:00Z,Lacarre,Point(-1.164166666 43.190277777)
LH/345/25,1795-12-14T00:00:00Z,Genève,Point(6.15 46.2),1877-09-18T00:00:00Z,Genève,Point(6.15 46.2)
LH/917/41,1775-12-28T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1863-02-05T00:00:00Z,Genève,Point(6.15 46.2)
LH/128/45,1834-08-02T00:00:00Z,Colmar,Point(7.355 48.081111111),1904-10-04T00:00:00Z,Portugal,Point(-9.183333333 38.7)
LH/1406/76,1817-03-03T00:00:00Z,Wasselonne,Point(7.448055555 48.637222222),1875-11-20T00:00:00Z,Zurich,Point(8.54 47.378611111)
LH/1406/76,1817-03-03T00:00:00Z,Wasselonne,Point(7.448055555 48.637222222),1875-11-20T00:00:00Z,Zurich,Point(8.54 47.378611111)
LH/1340/38,1752-07-07T00:00:00Z,Lyon,Point(4.841388888 45.758888888),1834-08-07T00:00:00Z,Oullins,Point(4.8075 45.714166666)
19800035/1052/21204,1895-03-30T00:00:00Z,Manosque,Point(5.783055555 43.833333333),1970-10-08T00:00:00Z,Manosque,Point(5.783055555 43.833333333)
19800035/1052/21204,1895-03-30T00:00:00Z,Manosque,Point(5.783055555 43.833333333),1970-10-09T00:00:00Z,Manosque,Point(5.783055555 43.833333333)
LH/1567/3,1814-04-14T00:00:00Z,Kiel,Point(10.139444444 54.323333333),1882-03-30T00:00:00Z,8e arrondissement de Paris,Point(2.311111111 48.874166666)
LH/2471/47,1830-10-19T00:00:00Z,île d'Oléron,Point(-1.3 45.9),1891-08-25T00:00:00Z,île d'Oléron,Point(-1.3 45.9)
