leonoreid,diplomes,professions
19800035/255/34043,professeur,dialectologue | linguiste | romaniste | professeur
LH/2185/72,Philosophiæ doctor,topologue | philosophe des sciences | philosophe | chercheur | professeur d'université | mathématicien | physicien | ingénieur | astronome
LH/2288/42,doctorat,linguiste | anthropologue | musicologue | archéologue | historien de l'art | traducteur | historien | mathématicien | professeur | personnalité politique | avocat
19800035/1032/19136,agrégation d'histoire,personnalité politique
LH/1095/15,archiviste paléographe,archiviste | historien
LH/1374/19,Philosophiæ doctor,mathématicien | professeur | ingénieur
LH/1870/19,agrégation de lettres modernes | licence,diariste | philosophe | archiviste | traducteur | historien | professeur | écrivain
LH/2110/21,professeur,physicien théoricien | professeur d'université | chimiste | compositeur
LH/1894/32,docteur ès lettres,orientaliste | traducteur | professeur | écrivain
LH/1624/1,doctorat,pharmacologue | professeur d'université | chimiste | pharmacien
LH/2751/18,docteur ès lettres,philologue classique | linguiste | professeur d'université
19800035/1208/39501,agrégation,philosophe | critique littéraire | musicien | dramaturge | écrivain
LH/1293/72,baccalauréat universitaire ès sciences | baccalauréat,professeur des universités | maître de conférences | professeur d'université | mathématicien
LH/1517/42,doctorat ès sciences médicales,anthropologue | sociologue | psychologue | physicien | médecin
LH/1272/52,docteur en médecine,minéralogiste | chimiste
19800035/89/11084,doctorat | archiviste paléographe,paléographe | conservateur | archiviste | bibliothécaire | historien
LH/2442/36,doctorat en musique,critique musical | musicien | organiste | pianiste | chef d'orchestre | compositeur
LH/1527/45,baccalauréat universitaire ès sciences,chimiste | professeur | ingénieur
19800035/839/95894,agrégation d'allemand,philologue | germaniste | historien de l'art
LH/394/6,doctorat,paléobotaniste | professeur des universités | médecin
LH/2604/87,doctorat,journaliste d'opinion | historien
LH/1421/47,doctorat,médecin légiste | anthropologue | criminologue | médecin
19800035/681/78087,baccalauréat | doctorat,sémiologue | assyriologue | historien des religions | philologue | linguiste | professeur d'université | traducteur | professeur
LH/527/68,archiviste paléographe,diplomate
LH/547/61,archiviste paléographe,linguiste | professeur d'université | philologue | romaniste
LH/2613/30,docteur en médecine,anthropologue | médecin
19800035/277/37052,doctorat,professeur des universités | juriste
LH/390/84,agrégation de philosophie | doctorat,philosophe | pédagogue | professeur | personnalité politique
19800035/103/12920,doctorat,sociologue | professeur d'université | juriste
LH/191/7,doctorat,historien de la littérature | philologue | philosophe | professeur d'université | traducteur
19800035/826/94155,doctorat | agrégation de philosophie,physiologiste | psychologue | professeur
LH/594/52,médecin,sociologue | médecin militaire | archiviste | enseignant | médecin
19800035/1342/55586,docteur en médecine,psychiatre
19800035/128/16199,professeur,chimiste | physicien
LH/481/39,docteur en médecine,bactériologiste | hygiéniste | professeur | médecin
LH/1826/3,docteur en pharmacie,industriel | pharmacien | personnalité du monde des affaires
LH/2002/68,archiviste paléographe,dramaturge | poète | écrivain
19800035/1090/25307,archiviste paléographe,archiviste | écrivain
LH/2754/68,archiviste paléographe,romaniste | archiviste | historien | écrivain
LH/76/2,agrégation de lettres,historien moderniste | journaliste | professeur d'université | traducteur | historien
LH/2509/73,archiviste paléographe,romaniste | archiviste
19800035/89/11145,agrégation de lettres | doctorat,romaniste | professeur d'université | traducteur
19800035/919/7301,archiviste paléographe,romaniste
19800035/249/33205,docteur ès sciences philologiques,archéologue | anthropologue | érudit classique | historien de l'art | historien
19800035/85/10635,doctorat,professeur des universités | historien de la littérature | critique littéraire | romaniste
19800035/1205/39182,doctorat,professeur des universités | microbiologiste | botaniste | paléontologue
19800035/130/16452,doctorat,exégète | assyriologue | théologien | prêtre catholique | professeur
LH/173/66,doctorat,prêtre catholique | personnalité politique
19800035/10/1282,archiviste paléographe,archiviste | historien | bibliothécaire
LH/1512/66,agrégation d'histoire,historien
19800035/246/32673,agrégation d'histoire,biographe | historien
LH/1/9,doctorat ès sciences médicales,ophtalmologue | médecin
LH/1508/35,agrégation d'histoire et géographie | docteur ès lettres,historien | professeur | écrivain
19800035/1378/59180,archiviste paléographe,archiviste | écrivain
19800035/541/61982,archiviste paléographe,orientaliste | archéologue
19800035/456/60992,agrégation de droit en France,juriste
LH/1294/19,doctorat en droit,personnalité politique | avocat
LH/2040/39,laurea,personnalité politique | avocat
LH/2655/54,professeur,professeur d'université | chimiste
19800035/888/4042,agrégation,diariste | critique littéraire | écrivain
LH/2174/24,Philosophiæ doctor,médecin interniste | anatomiste | clinicien | neuropsychiatre | histologiste | répétiteur | pathologiste | neurologue | doyen | psychiatre | médecin
LH/1274/62,Philosophiæ doctor,historien de la littérature | essayiste | historien | enseignant
LH/304/70,Philosophiæ doctor,érudit classique | historien
LH/397/98,Philosophiæ doctor,chimiste
LH/1470/10,doctorat | archiviste paléographe,archiviste | historien
19800035/885/3707,doctorat,personnalité politique | avocat
LH/658/56,doctorat,critique d'art | conservateur | ingénieur
19800035/570/64873,docteur ès lettres,professeur des universités | poète | enseignant | écrivain
19800035/710/80958,doctorat en droit,avocat
LH/1003/44,docteur ès lettres,historien de l'art | historien | professeur | personnalité politique
LH/1016/56,doctorat ès sciences médicales,historien | professeur | médecin
19800035/145/18412,infirmières pilotes secouristes de l’air,convoyeur de l'air
19800035/792/89554,agrégation d'histoire,historien | économiste | personnalité du monde des affaires
19800035/233/30938,archiviste paléographe,historien de l'art | archiviste | photographe
LH/2172/23,laurea,personnalité politique
LH/2302/71,laurea,personnalité politique | poète | avocat
LH/1005/29,docteur en médecine,chirurgien
LH/1005/30,docteur en médecine,chirurgien
19800035/125/15864,docteur en médecine,pathologiste | neurologue | médecin | enseignant
LH/971/44,docteur en médecine,journaliste | chimiste | médecin écrivain | écrivain
LH/2050/50,docteur en médecine | agrégation de médecine,hygiéniste | médecin
19800035/100/12565,doctorat,professeur d'université | mathématicien
19800035/76/9379,doctorat | docteur en médecine,philosophe | psychothérapeute | neurologue | psychologue | psychiatre | professeur | médecin
19800035/360/48378,doctorat,archéologue | historien | professeur
19800035/735/83452,doctorat,arménologue | grammairien | indoeuropéaniste | linguiste | professeur agrégé
LH/1125/50,doctorat,ichtyologiste | entomologiste | paléontologue | professeur d'université | ornithologue | zoologiste
LH/2557/53,doctorat | agrégation de philosophie,philosophe | personnalité politique
