nom,leonoreid,bnfid,datenaissance,ville,coordinatelieuN,datedeces,villedc,coordinatelieudc,metier,diplome
Jules Gilliéron,19800035/255/34043,12316631j,1854-12-21T00:00:00Z,La Neuveville,Point(7.094444444 47.065277777),1926-04-26T00:00:00Z,Gléresse,Point(7.133333333 47.083333333),dialectologue,professeur
Jules Gilliéron,19800035/255/34043,12316631j,1854-12-21T00:00:00Z,La Neuveville,Point(7.094444444 47.065277777),1926-04-26T00:00:00Z,Gléresse,Point(7.133333333 47.083333333),romaniste,professeur
Jules Gilliéron,19800035/255/34043,12316631j,1854-12-21T00:00:00Z,La Neuveville,Point(7.094444444 47.065277777),1926-04-26T00:00:00Z,Gléresse,Point(7.133333333 47.083333333),linguiste,professeur
Jules Gilliéron,19800035/255/34043,12316631j,1854-12-21T00:00:00Z,La Neuveville,Point(7.094444444 47.065277777),1926-04-26T00:00:00Z,Gléresse,Point(7.133333333 47.083333333),professeur,professeur
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),topologue,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),philosophe des sciences,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),philosophe,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),chercheur,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),professeur d'université,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),mathématicien,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),physicien,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),ingénieur,Philosophiæ doctor
Henri Poincaré,LH/2185/72,119201089,1854-04-29T00:00:00Z,Nancy,Point(6.183611111 48.692777777),1912-07-17T00:00:00Z,Paris,Point(2.351388888 48.856944444),astronome,Philosophiæ doctor
Jean Perrin,LH/2110/21,12174393p,1870-09-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1942-04-17T00:00:00Z,New York,Point(-73.94 40.67),physicien théoricien,professeur
Jean Perrin,LH/2110/21,12174393p,1870-09-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1942-04-17T00:00:00Z,New York,Point(-73.94 40.67),professeur d'université,professeur
Jean Perrin,LH/2110/21,12174393p,1870-09-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1942-04-17T00:00:00Z,New York,Point(-73.94 40.67),chimiste,professeur
Jean Perrin,LH/2110/21,12174393p,1870-09-30T00:00:00Z,Lille,Point(3.0575 50.631944444),1942-04-17T00:00:00Z,New York,Point(-73.94 40.67),compositeur,professeur
Charles Hermite,LH/1293/72,123816057,1822-12-24T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1901-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),professeur des universités,baccalauréat universitaire ès sciences
Charles Hermite,LH/1293/72,123816057,1822-12-24T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1901-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),maître de conférences,baccalauréat universitaire ès sciences
Charles Hermite,LH/1293/72,123816057,1822-12-24T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1901-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),professeur d'université,baccalauréat universitaire ès sciences
Charles Hermite,LH/1293/72,123816057,1822-12-24T00:00:00Z,Dieuze,Point(6.719722222 48.812222222),1901-01-14T00:00:00Z,Paris,Point(2.351388888 48.856944444),mathématicien,baccalauréat universitaire ès sciences
Théodore Reinach,LH/2288/42,12329980h,1860-07-03T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888),1928-10-28T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),musicologue,doctorat
Théodore Reinach,LH/2288/42,12329980h,1860-07-03T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888),1928-10-28T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),linguiste,doctorat
Théodore Reinach,LH/2288/42,12329980h,1860-07-03T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888),1928-10-28T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),archéologue,doctorat
Théodore Reinach,LH/2288/42,12329980h,1860-07-03T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888),1928-10-28T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),anthropologue,doctorat
Théodore Reinach,LH/2288/42,12329980h,1860-07-03T00:00:00Z,Saint-Germain-en-Laye,Point(2.090555555 48.896388888),1928-10-28T00:00:00Z,16e arrondissement de Paris,Point(2.276488888 48.863611111),historien de l'art,doctorat
